Seed,d,Tol,Convergence,Loss,Accuracy
54886.0,16.0,0.0001,64.0,0.6389757941929308,0.80859375
54886.0,32.0,0.01,3.0,2.5239548388373114,0.453125
54886.0,32.0,0.001,24.0,0.7281508858159873,0.734375
54886.0,32.0,0.0001,62.0,0.6029908415580963,0.89453125
6265.0,2.0,0.01,10.0,0.7944710267510555,0.76171875
6265.0,2.0,0.001,96.0,0.6121910225382203,0.87109375
6265.0,2.0,0.0001,294.0,0.5715992592548416,0.87109375
6265.0,4.0,0.01,11.0,0.7437164180286376,0.828125
6265.0,4.0,0.001,61.0,0.5247894413404142,0.9375
6265.0,4.0,0.0001,103.0,0.5236959965752596,0.8984375
6265.0,8.0,0.01,5.0,0.4867654335566643,0.86328125
6265.0,8.0,0.001,13.0,0.2870268497214481,0.96875
6265.0,8.0,0.0001,21.0,0.2500763593493995,0.96484375
6265.0,16.0,0.01,7.0,0.7812695684914988,0.66796875
6265.0,16.0,0.001,28.0,0.2396641888856564,0.95703125
6265.0,16.0,0.0001,66.0,0.2420206327665159,0.953125
6265.0,32.0,0.01,10.0,1.0214967210888397,0.46484375
6265.0,32.0,0.001,69.0,0.5333718890432804,0.94140625
6265.0,32.0,0.0001,246.0,0.7800035133998882,0.71484375
82386.0,2.0,0.01,24.0,0.4462183559254705,0.94921875
82386.0,2.0,0.001,38.0,0.4391649280745216,0.96484375
82386.0,2.0,0.0001,38.0,0.4391649280745216,0.96484375
82386.0,4.0,0.01,9.0,0.3836688402703648,0.9296875
82386.0,4.0,0.001,27.0,0.3997582233775011,0.8828125
82386.0,4.0,0.0001,27.0,0.3997582233775011,0.8828125
82386.0,8.0,0.01,7.0,0.784213951694217,0.69921875
82386.0,8.0,0.001,14.0,0.5773690322399818,0.87109375
82386.0,8.0,0.0001,91.0,0.577605192858114,0.859375
82386.0,16.0,0.01,10.0,0.4397547380507622,0.8984375
82386.0,16.0,0.001,21.0,0.3784863983212537,0.87109375
82386.0,16.0,0.0001,189.0,0.3662080539685178,0.88671875
82386.0,32.0,0.01,3.0,0.5988428190695516,0.796875
82386.0,32.0,0.001,25.0,0.5498318933935773,0.8046875
82386.0,32.0,0.0001,30.0,0.5462535583536337,0.80078125
37194.0,2.0,0.01,14.0,0.4611565917520133,0.96484375
37194.0,2.0,0.001,32.0,0.4284382490386794,0.9921875
37194.0,2.0,0.0001,127.0,0.4256835705019847,0.99609375
37194.0,4.0,0.01,7.0,0.8597519787975605,0.734375
37194.0,4.0,0.001,77.0,0.5720790563781477,0.953125
37194.0,4.0,0.0001,139.0,0.5621820806642082,0.90234375
37194.0,8.0,0.01,17.0,0.6251551304793208,0.82421875
37194.0,8.0,0.001,17.0,0.6251551304793208,0.82421875
37194.0,8.0,0.0001,82.0,0.4532981193845504,0.91015625
37194.0,16.0,0.01,5.0,1.6459983260674544,0.15625
37194.0,16.0,0.001,9.0,1.5593896819123167,0.2109375
37194.0,16.0,0.0001,9.0,1.5593896819123167,0.2109375
37194.0,32.0,0.01,4.0,1.4638851467437417,0.4140625
37194.0,32.0,0.001,45.0,0.4375202115668232,0.8984375
37194.0,32.0,0.0001,66.0,0.5139459761958709,0.83984375
87498.0,2.0,0.01,17.0,0.5646936153948061,0.859375
87498.0,2.0,0.001,30.0,0.5295367205885431,0.87109375
87498.0,2.0,0.0001,75.0,0.5049669341263068,0.92578125
87498.0,4.0,0.01,8.0,0.6943018678232427,0.72265625
87498.0,4.0,0.001,32.0,0.5585093540791517,0.90625
87498.0,4.0,0.0001,153.0,0.5541275556696801,0.92578125
87498.0,8.0,0.01,10.0,0.6453191778485273,0.828125
87498.0,8.0,0.001,16.0,0.6244785535366754,0.8515625
