Seed,d,Tol,Convergence,Loss,Accuracy
76820.0,32.0,0.001,4.0,0.8558627614708365,0.66796875
76820.0,32.0,0.0001,85.0,0.5619232947933523,0.84375
54886.0,2.0,0.01,8.0,1.408303293924397,0.234375
54886.0,2.0,0.001,74.0,0.7508022716891622,0.7890625
54886.0,2.0,0.0001,74.0,0.7508022716891622,0.7890625
54886.0,4.0,0.01,2.0,0.8619841354583314,0.7421875
54886.0,4.0,0.001,59.0,0.5402960031704909,0.87890625
54886.0,4.0,0.0001,117.0,0.5327429846818956,0.875
54886.0,8.0,0.01,37.0,0.7070205346622955,0.7578125
54886.0,8.0,0.001,79.0,0.7045874852086957,0.74609375
54886.0,8.0,0.0001,325.0,0.7072647633719893,0.765625
54886.0,16.0,0.01,7.0,1.1421460618702026,0.5078125
54886.0,16.0,0.001,23.0,0.7285106636908893,0.75390625
54886.0,16.0,0.0001,33.0,0.655661694773317,0.8203125
54886.0,32.0,0.01,7.0,1.1895387733429246,0.421875
54886.0,32.0,0.001,22.0,1.426239770060735,0.4453125
54886.0,32.0,0.0001,248.0,0.8358059814218326,0.65234375
6265.0,2.0,0.01,20.0,0.7294413670136921,0.7734375
6265.0,2.0,0.001,189.0,0.6419381983126694,0.83203125
6265.0,2.0,0.0001,513.0,0.6327492128079215,0.85546875
6265.0,4.0,0.01,5.0,0.7466846405436982,0.734375
6265.0,4.0,0.001,37.0,0.7010601345510747,0.6328125
6265.0,4.0,0.0001,38.0,0.7011053843695106,0.6328125
6265.0,8.0,0.01,5.0,0.5726095029552283,0.9140625
6265.0,8.0,0.001,5.0,0.5726095029552283,0.9140625
6265.0,8.0,0.0001,21.0,0.4178023309684292,0.96875
6265.0,16.0,0.01,10.0,0.4796480050584718,0.890625
6265.0,16.0,0.001,38.0,0.5210829619524727,0.9453125
6265.0,16.0,0.0001,167.0,0.2780944792801757,0.9453125
6265.0,32.0,0.01,5.0,0.7213378590938752,0.79296875
6265.0,32.0,0.001,22.0,0.5947424519106568,0.78515625
6265.0,32.0,0.0001,54.0,0.6317437923060718,0.83984375
