M,seed,0.001,0.01,0.1
16.0,4363.0,268435456.0,1048576.0,4096.0
16.0,9385.0,67108864.0,2097152.0,8192.0
16.0,6684.0,268435456.0,1048576.0,16384.0
16.0,4645.0,33554432.0,2097152.0,65536.0
16.0,4473.0,67108864.0,1048576.0,32768.0
16.0,7744.0,67108864.0,524288.0,8192.0
16.0,1536.0,67108864.0,2097152.0,8192.0
16.0,3247.0,67108864.0,262144.0,8192.0
16.0,1642.0,268435456.0,1048576.0,16384.0
16.0,7113.0,67108864.0,2097152.0,8192.0
16.0,1811.0,67108864.0,1048576.0,4096.0
16.0,4955.0,67108864.0,1048576.0,8192.0
16.0,4289.0,67108864.0,2097152.0,8192.0
16.0,8168.0,67108864.0,1048576.0,8192.0
16.0,3692.0,134217728.0,1048576.0,16384.0
16.0,6909.0,67108864.0,1048576.0,8192.0
16.0,8314.0,33554432.0,262144.0,16384.0
16.0,1996.0,134217728.0,1048576.0,32768.0
16.0,8821.0,134217728.0,4194304.0,4096.0
16.0,9640.0,67108864.0,1048576.0,4096.0
16.0,2256.0,268435456.0,2097152.0,4096.0
16.0,9189.0,268435456.0,2097152.0,8192.0
16.0,8884.0,67108864.0,2097152.0,32768.0
16.0,1270.0,67108864.0,262144.0,8192.0
16.0,1604.0,33554432.0,2097152.0,32768.0
16.0,8329.0,134217728.0,2097152.0,4096.0
16.0,7933.0,33554432.0,524288.0,16384.0
16.0,1889.0,67108864.0,1048576.0,8192.0
16.0,7561.0,134217728.0,1048576.0,8192.0
16.0,1397.0,33554432.0,262144.0,8192.0
16.0,2394.0,134217728.0,1048576.0,4096.0
16.0,5509.0,67108864.0,1048576.0,8192.0
16.0,6992.0,67108864.0,524288.0,16384.0
16.0,5217.0,134217728.0,2097152.0,16384.0
16.0,5415.0,134217728.0,2097152.0,16384.0
16.0,2882.0,67108864.0,1048576.0,16384.0
16.0,9025.0,268435456.0,2097152.0,8192.0
16.0,7794.0,134217728.0,524288.0,8192.0
16.0,6391.0,268435456.0,2097152.0,4096.0
16.0,7669.0,268435456.0,524288.0,16384.0
16.0,915.0,67108864.0,1048576.0,8192.0
16.0,8411.0,67108864.0,524288.0,8192.0
16.0,5442.0,16777216.0,131072.0,8192.0
16.0,3872.0,134217728.0,524288.0,16384.0
16.0,4403.0,268435456.0,2097152.0,8192.0
16.0,4745.0,268435456.0,1048576.0,2048.0
16.0,6288.0,268435456.0,524288.0,4096.0
16.0,675.0,67108864.0,1048576.0,8192.0
16.0,7545.0,33554432.0,524288.0,16384.0
16.0,2264.0,134217728.0,4194304.0,2048.0
16.0,6482.0,134217728.0,1048576.0,16384.0
16.0,8976.0,268435456.0,524288.0,4096.0
16.0,6803.0,134217728.0,524288.0,4096.0
16.0,3652.0,67108864.0,1048576.0,16384.0
16.0,4433.0,134217728.0,524288.0,32768.0
16.0,4616.0,134217728.0,2097152.0,4096.0
16.0,9197.0,134217728.0,1048576.0,8192.0
16.0,5089.0,134217728.0,2097152.0,16384.0
16.0,7293.0,67108864.0,524288.0,4096.0
16.0,7403.0,67108864.0,524288.0,8192.0
16.0,3994.0,67108864.0,1048576.0,8192.0
16.0,3679.0,134217728.0,2097152.0,16384.0
16.0,7663.0,134217728.0,2097152.0,8192.0
16.0,761.0,67108864.0,524288.0,4096.0
16.0,6366.0,33554432.0,2097152.0,4096.0
16.0,6823.0,33554432.0,1048576.0,16384.0
16.0,8224.0,67108864.0,1048576.0,16384.0
16.0,851.0,16777216.0,524288.0,16384.0
16.0,2750.0,134217728.0,524288.0,16384.0
16.0,971.0,33554432.0,524288.0,4096.0
16.0,9654.0,134217728.0,1048576.0,16384.0
16.0,7536.0,67108864.0,1048576.0,4096.0
16.0,436.0,67108864.0,2097152.0,4096.0
16.0,8505.0,67108864.0,262144.0,2048.0
16.0,6965.0,134217728.0,262144.0,4096.0
16.0,4348.0,134217728.0,2097152.0,32768.0
16.0,8528.0,67108864.0,1048576.0,16384.0
16.0,1937.0,268435456.0,2097152.0,4096.0
16.0,3621.0,67108864.0,524288.0,16384.0
16.0,634.0,33554432.0,262144.0,8192.0
16.0,933.0,67108864.0,1048576.0,8192.0
16.0,4963.0,67108864.0,524288.0,16384.0
16.0,9670.0,67108864.0,1048576.0,16384.0
16.0,4346.0,67108864.0,1048576.0,16384.0
16.0,3119.0,67108864.0,524288.0,16384.0
16.0,8041.0,67108864.0,1048576.0,16384.0
16.0,6278.0,268435456.0,2097152.0,8192.0
16.0,6744.0,134217728.0,1048576.0,4096.0
16.0,4681.0,134217728.0,1048576.0,16384.0
16.0,7757.0,134217728.0,1048576.0,8192.0
16.0,4094.0,134217728.0,1048576.0,32768.0
16.0,3525.0,33554432.0,262144.0,16384.0
16.0,7419.0,33554432.0,1048576.0,16384.0
16.0,1295.0,67108864.0,2097152.0,16384.0
16.0,6847.0,67108864.0,524288.0,16384.0
16.0,3294.0,268435456.0,131072.0,4096.0
16.0,883.0,67108864.0,524288.0,16384.0
16.0,5633.0,268435456.0,2097152.0,16384.0
16.0,4467.0,33554432.0,524288.0,8192.0
16.0,8313.0,268435456.0,2097152.0,4096.0
32.0,4363.0,134217728.0,1048576.0,8192.0
32.0,9385.0,134217728.0,524288.0,16384.0
32.0,6684.0,134217728.0,4194304.0,16384.0
32.0,4645.0,134217728.0,1048576.0,16384.0
32.0,4473.0,67108864.0,2097152.0,8192.0
32.0,7744.0,67108864.0,1048576.0,8192.0
32.0,1536.0,134217728.0,2097152.0,8192.0
32.0,3247.0,67108864.0,2097152.0,8192.0
32.0,1642.0,134217728.0,1048576.0,8192.0
32.0,7113.0,134217728.0,1048576.0,16384.0
32.0,1811.0,134217728.0,2097152.0,16384.0
32.0,4955.0,268435456.0,4194304.0,16384.0
32.0,4289.0,134217728.0,1048576.0,16384.0
32.0,8168.0,268435456.0,1048576.0,16384.0
32.0,3692.0,134217728.0,2097152.0,16384.0
32.0,6909.0,134217728.0,2097152.0,16384.0
32.0,8314.0,67108864.0,2097152.0,16384.0
32.0,1996.0,33554432.0,2097152.0,32768.0
32.0,8821.0,134217728.0,2097152.0,8192.0
32.0,9640.0,134217728.0,1048576.0,32768.0
32.0,2256.0,134217728.0,524288.0,32768.0
32.0,9189.0,134217728.0,2097152.0,32768.0
32.0,8884.0,268435456.0,524288.0,32768.0
32.0,1270.0,268435456.0,1048576.0,16384.0
32.0,1604.0,67108864.0,1048576.0,32768.0
32.0,8329.0,134217728.0,1048576.0,16384.0
32.0,7933.0,67108864.0,1048576.0,16384.0
32.0,1889.0,67108864.0,1048576.0,16384.0
32.0,7561.0,134217728.0,1048576.0,16384.0
32.0,1397.0,268435456.0,4194304.0,8192.0
32.0,2394.0,67108864.0,2097152.0,32768.0
32.0,5509.0,268435456.0,1048576.0,8192.0
32.0,6992.0,134217728.0,1048576.0,16384.0
32.0,5217.0,67108864.0,1048576.0,16384.0
32.0,5415.0,134217728.0,1048576.0,16384.0
32.0,2882.0,268435456.0,1048576.0,8192.0
32.0,9025.0,268435456.0,2097152.0,8192.0
32.0,7794.0,67108864.0,1048576.0,8192.0
32.0,6391.0,134217728.0,524288.0,8192.0
32.0,7669.0,536870912.0,1048576.0,4096.0
32.0,915.0,67108864.0,2097152.0,8192.0
32.0,8411.0,134217728.0,1048576.0,4096.0
32.0,5442.0,134217728.0,524288.0,16384.0
32.0,3872.0,134217728.0,1048576.0,32768.0
32.0,4403.0,268435456.0,2097152.0,16384.0
32.0,4745.0,134217728.0,2097152.0,16384.0
32.0,6288.0,536870912.0,4194304.0,8192.0
32.0,675.0,268435456.0,1048576.0,8192.0
32.0,7545.0,67108864.0,2097152.0,8192.0
32.0,2264.0,134217728.0,2097152.0,16384.0
32.0,6482.0,134217728.0,1048576.0,16384.0
32.0,8976.0,268435456.0,2097152.0,8192.0
32.0,6803.0,134217728.0,2097152.0,16384.0
32.0,3652.0,268435456.0,2097152.0,8192.0
32.0,4433.0,134217728.0,1048576.0,16384.0
32.0,4616.0,268435456.0,1048576.0,16384.0
32.0,9197.0,134217728.0,1048576.0,8192.0
32.0,5089.0,67108864.0,524288.0,16384.0
32.0,7293.0,134217728.0,524288.0,16384.0
32.0,7403.0,67108864.0,2097152.0,32768.0
32.0,3994.0,67108864.0,1048576.0,8192.0
32.0,3679.0,134217728.0,1048576.0,16384.0
32.0,7663.0,536870912.0,2097152.0,8192.0
32.0,761.0,268435456.0,2097152.0,16384.0
32.0,6366.0,134217728.0,524288.0,32768.0
32.0,6823.0,134217728.0,1048576.0,8192.0
32.0,8224.0,268435456.0,2097152.0,4096.0
32.0,851.0,134217728.0,1048576.0,16384.0
32.0,2750.0,268435456.0,2097152.0,8192.0
32.0,971.0,67108864.0,1048576.0,16384.0
32.0,9654.0,268435456.0,2097152.0,16384.0
32.0,7536.0,134217728.0,1048576.0,16384.0
32.0,436.0,134217728.0,2097152.0,8192.0
32.0,8505.0,134217728.0,1048576.0,8192.0
32.0,6965.0,134217728.0,1048576.0,8192.0
32.0,4348.0,134217728.0,1048576.0,8192.0
32.0,8528.0,268435456.0,1048576.0,16384.0
32.0,1937.0,134217728.0,1048576.0,8192.0
32.0,3621.0,536870912.0,4194304.0,8192.0
32.0,634.0,67108864.0,524288.0,16384.0
32.0,933.0,134217728.0,1048576.0,16384.0
32.0,4963.0,134217728.0,2097152.0,8192.0
32.0,9670.0,67108864.0,2097152.0,16384.0
32.0,4346.0,134217728.0,1048576.0,32768.0
32.0,3119.0,134217728.0,1048576.0,16384.0
32.0,8041.0,134217728.0,1048576.0,32768.0
32.0,6278.0,134217728.0,1048576.0,16384.0
32.0,6744.0,268435456.0,1048576.0,16384.0
32.0,4681.0,134217728.0,524288.0,16384.0
32.0,7757.0,134217728.0,2097152.0,16384.0
32.0,4094.0,67108864.0,2097152.0,16384.0
32.0,3525.0,67108864.0,2097152.0,8192.0
32.0,7419.0,134217728.0,2097152.0,16384.0
32.0,1295.0,134217728.0,1048576.0,32768.0
32.0,6847.0,134217728.0,4194304.0,8192.0
32.0,3294.0,268435456.0,1048576.0,8192.0
32.0,883.0,134217728.0,1048576.0,8192.0
32.0,5633.0,67108864.0,1048576.0,16384.0
32.0,4467.0,268435456.0,2097152.0,16384.0
32.0,8313.0,134217728.0,524288.0,32768.0
64.0,4363.0,536870912.0,4194304.0,131072.0
64.0,9385.0,268435456.0,4194304.0,65536.0
64.0,6684.0,1073741824.0,8388608.0,65536.0
64.0,4645.0,1073741824.0,4194304.0,32768.0
64.0,4473.0,536870912.0,4194304.0,65536.0
64.0,7744.0,268435456.0,2097152.0,65536.0
64.0,1536.0,536870912.0,2097152.0,65536.0
64.0,3247.0,536870912.0,8388608.0,65536.0
64.0,1642.0,1073741824.0,8388608.0,32768.0
64.0,7113.0,536870912.0,4194304.0,32768.0
64.0,1811.0,1073741824.0,4194304.0,65536.0
64.0,4955.0,536870912.0,4194304.0,65536.0
64.0,4289.0,536870912.0,4194304.0,65536.0
64.0,8168.0,536870912.0,2097152.0,65536.0
64.0,3692.0,268435456.0,4194304.0,65536.0
64.0,6909.0,536870912.0,4194304.0,32768.0
64.0,8314.0,268435456.0,8388608.0,32768.0
64.0,1996.0,536870912.0,4194304.0,65536.0
64.0,8821.0,1073741824.0,4194304.0,32768.0
64.0,9640.0,536870912.0,8388608.0,32768.0
64.0,2256.0,536870912.0,8388608.0,65536.0
64.0,9189.0,268435456.0,8388608.0,131072.0
64.0,8884.0,536870912.0,4194304.0,131072.0
64.0,1270.0,536870912.0,8388608.0,65536.0
64.0,1604.0,536870912.0,8388608.0,65536.0
64.0,8329.0,536870912.0,2097152.0,65536.0
64.0,7933.0,268435456.0,4194304.0,65536.0
64.0,1889.0,268435456.0,8388608.0,32768.0
64.0,7561.0,134217728.0,8388608.0,65536.0
64.0,1397.0,536870912.0,4194304.0,32768.0
64.0,2394.0,536870912.0,8388608.0,32768.0
64.0,5509.0,536870912.0,4194304.0,65536.0
64.0,6992.0,536870912.0,8388608.0,65536.0
64.0,5217.0,268435456.0,8388608.0,32768.0
64.0,5415.0,268435456.0,4194304.0,32768.0
64.0,2882.0,536870912.0,4194304.0,32768.0
64.0,9025.0,536870912.0,4194304.0,32768.0
64.0,7794.0,536870912.0,4194304.0,65536.0
64.0,6391.0,536870912.0,2097152.0,65536.0
64.0,7669.0,536870912.0,8388608.0,32768.0
64.0,915.0,536870912.0,4194304.0,32768.0
64.0,8411.0,1073741824.0,4194304.0,32768.0
64.0,5442.0,1073741824.0,8388608.0,32768.0
64.0,3872.0,536870912.0,4194304.0,32768.0
64.0,4403.0,536870912.0,4194304.0,65536.0
64.0,4745.0,536870912.0,8388608.0,16384.0
64.0,6288.0,1073741824.0,4194304.0,32768.0
64.0,675.0,1073741824.0,4194304.0,32768.0
64.0,7545.0,536870912.0,4194304.0,65536.0
64.0,2264.0,536870912.0,8388608.0,65536.0
64.0,6482.0,268435456.0,8388608.0,65536.0
64.0,8976.0,536870912.0,4194304.0,65536.0
64.0,6803.0,1073741824.0,8388608.0,32768.0
64.0,3652.0,536870912.0,4194304.0,65536.0
64.0,4433.0,536870912.0,8388608.0,65536.0
64.0,4616.0,536870912.0,8388608.0,65536.0
64.0,9197.0,536870912.0,4194304.0,131072.0
64.0,5089.0,1073741824.0,4194304.0,32768.0
64.0,7293.0,536870912.0,8388608.0,65536.0
64.0,7403.0,536870912.0,4194304.0,32768.0
64.0,3994.0,536870912.0,4194304.0,131072.0
64.0,3679.0,536870912.0,8388608.0,32768.0
64.0,7663.0,268435456.0,8388608.0,65536.0
64.0,761.0,536870912.0,4194304.0,65536.0
64.0,6366.0,536870912.0,16777216.0,65536.0
64.0,6823.0,536870912.0,8388608.0,32768.0
64.0,8224.0,536870912.0,4194304.0,65536.0
64.0,851.0,536870912.0,4194304.0,32768.0
64.0,2750.0,1073741824.0,8388608.0,65536.0
64.0,971.0,1073741824.0,4194304.0,65536.0
64.0,9654.0,536870912.0,8388608.0,65536.0
64.0,7536.0,536870912.0,8388608.0,65536.0
64.0,436.0,536870912.0,2097152.0,32768.0
64.0,8505.0,536870912.0,4194304.0,32768.0
64.0,6965.0,1073741824.0,4194304.0,65536.0
64.0,4348.0,536870912.0,8388608.0,65536.0
64.0,8528.0,536870912.0,4194304.0,65536.0
64.0,1937.0,268435456.0,4194304.0,65536.0
64.0,3621.0,536870912.0,8388608.0,32768.0
64.0,634.0,536870912.0,4194304.0,65536.0
64.0,933.0,268435456.0,8388608.0,32768.0
64.0,4963.0,536870912.0,2097152.0,65536.0
64.0,9670.0,536870912.0,8388608.0,32768.0
64.0,4346.0,268435456.0,4194304.0,65536.0
64.0,3119.0,536870912.0,2097152.0,65536.0
64.0,8041.0,536870912.0,4194304.0,32768.0
64.0,6278.0,268435456.0,4194304.0,65536.0
64.0,6744.0,536870912.0,8388608.0,65536.0
64.0,4681.0,268435456.0,2097152.0,32768.0
64.0,7757.0,536870912.0,4194304.0,32768.0
64.0,4094.0,536870912.0,8388608.0,32768.0
64.0,3525.0,536870912.0,4194304.0,65536.0
64.0,7419.0,1073741824.0,4194304.0,65536.0
64.0,1295.0,536870912.0,4194304.0,65536.0
64.0,6847.0,536870912.0,8388608.0,65536.0
64.0,3294.0,268435456.0,4194304.0,32768.0
64.0,883.0,1073741824.0,4194304.0,65536.0
64.0,5633.0,536870912.0,4194304.0,65536.0
64.0,4467.0,536870912.0,16777216.0,65536.0
64.0,8313.0,536870912.0,8388608.0,65536.0
128.0,4363.0,536870912.0,8388608.0,131072.0
128.0,9385.0,2147483648.0,8388608.0,65536.0
128.0,6684.0,1073741824.0,16777216.0,131072.0
128.0,4645.0,1073741824.0,8388608.0,131072.0
128.0,4473.0,2147483648.0,8388608.0,131072.0
128.0,7744.0,536870912.0,16777216.0,262144.0
128.0,1536.0,2147483648.0,16777216.0,131072.0
128.0,3247.0,2147483648.0,16777216.0,65536.0
