seed,M,C,epsilon,shots
50778.0,8.0,10.0,0.15,86.0
48598.0,8.0,10.0,0.15,235.0
61723.0,8.0,10.0,0.15,94.0
97134.0,8.0,10.0,0.15,445.0
54509.0,8.0,10.0,0.15,487.0
34753.0,16.0,10.0,0.15,4744.0
932.0,16.0,10.0,0.15,640.0
61325.0,16.0,10.0,0.15,-1.0
85987.0,16.0,10.0,0.15,3610.0
53492.0,16.0,10.0,0.15,4744.0
50778.0,16.0,10.0,0.15,1326.0
48598.0,16.0,10.0,0.15,768.0
61723.0,16.0,10.0,0.15,3610.0
97134.0,16.0,10.0,0.15,-1.0
54509.0,16.0,10.0,0.15,3955.0
34753.0,24.0,10.0,0.15,3610.0
932.0,24.0,10.0,0.15,2748.0
61325.0,24.0,10.0,0.15,-1.0
85987.0,24.0,10.0,0.15,-1.0
53492.0,24.0,10.0,0.15,6828.0
50778.0,24.0,10.0,0.15,7479.0
48598.0,24.0,10.0,0.15,6234.0
61723.0,24.0,10.0,0.15,8192.0
97134.0,24.0,10.0,0.15,1743.0
54509.0,24.0,10.0,0.15,7479.0
34753.0,32.0,10.0,0.15,7479.0
932.0,32.0,10.0,0.15,-1.0
61325.0,32.0,10.0,0.15,-1.0
85987.0,32.0,10.0,0.15,-1.0
53492.0,32.0,10.0,0.15,-1.0
50778.0,32.0,10.0,0.15,-1.0
48598.0,32.0,10.0,0.15,-1.0
61723.0,32.0,10.0,0.15,5692.0
97134.0,32.0,10.0,0.15,-1.0
54509.0,32.0,10.0,0.15,-1.0
34753.0,4.0,10.0,0.25,18.0
932.0,4.0,10.0,0.25,2.0
61325.0,4.0,10.0,0.25,72.0
85987.0,4.0,10.0,0.25,2.0
53492.0,4.0,10.0,0.25,3.0
50778.0,4.0,10.0,0.25,2.0
48598.0,4.0,10.0,0.25,2.0
61723.0,4.0,10.0,0.25,4.0
97134.0,4.0,10.0,0.25,3.0
54509.0,4.0,10.0,0.25,4.0
34753.0,8.0,10.0,0.25,257.0
932.0,8.0,10.0,0.25,78.0
61325.0,8.0,10.0,0.25,179.0
85987.0,8.0,10.0,0.25,124.0
53492.0,8.0,10.0,0.25,124.0
50778.0,8.0,10.0,0.25,86.0
48598.0,8.0,10.0,0.25,31.0
61723.0,8.0,10.0,0.25,72.0
97134.0,8.0,10.0,0.25,371.0
54509.0,8.0,10.0,0.25,445.0
34753.0,16.0,10.0,0.25,2509.0
