seed,R,C,M,epsilon
61723.0,2048.0,10.0,10.0,0.0390886740586964
97134.0,2.0,10.0,10.0,1.4700410403772235
97134.0,64.0,10.0,10.0,0.217580581499974
97134.0,2048.0,10.0,10.0,0.0918160763363615
54509.0,2.0,10.0,10.0,1.2462055267815917
54509.0,64.0,10.0,10.0,0.8511174045745629
54509.0,2048.0,10.0,10.0,0.2358288512994057
34753.0,2.0,10.0,2.0,2.0524264510157764e-09
34753.0,64.0,10.0,2.0,2.0524264510157764e-09
34753.0,2048.0,10.0,2.0,2.0524264510157764e-09
932.0,2.0,10.0,2.0,3.3821379030740667e-10
932.0,64.0,10.0,2.0,3.3821379030740667e-10
932.0,2048.0,10.0,2.0,3.3821379030740667e-10
61325.0,2.0,10.0,2.0,0.9429621575839882
61325.0,64.0,10.0,2.0,0.0054621575839881
61325.0,2048.0,10.0,2.0,0.0482487799160118
85987.0,2.0,10.0,2.0,8.27798274372071e-10
85987.0,64.0,10.0,2.0,8.27798274372071e-10
85987.0,2048.0,10.0,2.0,8.27798274372071e-10
53492.0,2.0,10.0,2.0,5.0422377384506945e-09
53492.0,64.0,10.0,2.0,5.0422377384506945e-09
53492.0,2048.0,10.0,2.0,5.0422377384506945e-09
50778.0,2.0,10.0,2.0,5.576698214326825e-09
50778.0,64.0,10.0,2.0,5.5766983253491276e-09
50778.0,2048.0,10.0,2.0,5.576698214326825e-09
48598.0,2.0,10.0,2.0,1.762088253087768e-10
48598.0,64.0,10.0,2.0,1.762088253087768e-10
48598.0,2048.0,10.0,2.0,1.762088253087768e-10
61723.0,2.0,10.0,2.0,4.841799405852498e-09
61723.0,64.0,10.0,2.0,4.841799405852498e-09
61723.0,2048.0,10.0,2.0,4.841799183807893e-09
97134.0,2.0,10.0,2.0,5.811329195637427e-11
97134.0,64.0,10.0,2.0,5.811329195637427e-11
97134.0,2048.0,10.0,2.0,5.811329195637427e-11
54509.0,2.0,10.0,2.0,3.903983514241816e-08
54509.0,64.0,10.0,2.0,3.9039835586507365e-08
54509.0,2048.0,10.0,2.0,3.903983536446276e-08
34753.0,2.0,10.0,4.0,0.0004253662502164
34753.0,64.0,10.0,4.0,0.0005911938179645
34753.0,2048.0,10.0,4.0,0.0004247817442222
932.0,2.0,10.0,4.0,1.000304751299987
932.0,64.0,10.0,4.0,0.0355434609056501
932.0,2048.0,10.0,4.0,0.0006010310763449
61325.0,2.0,10.0,4.0,0.9996217850896372
61325.0,64.0,10.0,4.0,0.0891680444192367
61325.0,2048.0,10.0,4.0,0.0885208412443968
85987.0,2.0,10.0,4.0,0.0004664853096214
85987.0,64.0,10.0,4.0,0.0006989702354198
85987.0,2048.0,10.0,4.0,0.0009096754170228
53492.0,2.0,10.0,4.0,0.0003269707678048
53492.0,64.0,10.0,4.0,0.0006465723977373
53492.0,2048.0,10.0,4.0,0.0002374079153915
50778.0,2.0,10.0,4.0,1.423830269769644
50778.0,64.0,10.0,4.0,0.0005561730510327
50778.0,2048.0,10.0,4.0,0.000788169487072
48598.0,2.0,10.0,4.0,0.0685210188221765
48598.0,64.0,10.0,4.0,0.0684550212507957
48598.0,2048.0,10.0,4.0,0.0054747702571482
61723.0,2.0,10.0,4.0,0.1101476874550457
61723.0,64.0,10.0,4.0,0.0862826042700324
61723.0,2048.0,10.0,4.0,0.0135925234853804
97134.0,2.0,10.0,4.0,0.0001479738875284
97134.0,64.0,10.0,4.0,0.0009234800582201
97134.0,2048.0,10.0,4.0,0.0001937273654941
54509.0,2.0,10.0,4.0,0.0128149742327206
54509.0,64.0,10.0,4.0,0.0129092975181417
54509.0,2048.0,10.0,4.0,0.0141164101596913
34753.0,2.0,10.0,6.0,0.000734392173479
34753.0,64.0,10.0,6.0,0.0875860196614607
34753.0,2048.0,10.0,6.0,0.0005102929371737
932.0,2.0,10.0,6.0,1.0004545957438566
932.0,64.0,10.0,6.0,0.2495901709344092
932.0,2048.0,10.0,6.0,0.0682472269684693
61325.0,2.0,10.0,6.0,0.2815447348512783
61325.0,64.0,10.0,6.0,0.2597601167252517
61325.0,2048.0,10.0,6.0,0.0881804646564649
85987.0,2.0,10.0,6.0,0.3782173640492883
85987.0,64.0,10.0,6.0,0.0800758991694832
85987.0,2048.0,10.0,6.0,0.0793359502127881
53492.0,2.0,10.0,6.0,0.1489215652656211
53492.0,64.0,10.0,6.0,0.0731539882865282
53492.0,2048.0,10.0,6.0,0.002747824347522
50778.0,2.0,10.0,6.0,1.6937650210427295
50778.0,64.0,10.0,6.0,0.0689992960027214
50778.0,2048.0,10.0,6.0,0.1336570613097585
48598.0,2.0,10.0,6.0,0.159962980457002
48598.0,64.0,10.0,6.0,0.1583552600328905
48598.0,2048.0,10.0,6.0,0.0171775897979347
61723.0,2.0,10.0,6.0,0.1937536934128592
61723.0,64.0,10.0,6.0,0.0486455012508717
61723.0,2048.0,10.0,6.0,0.0172801573365146
97134.0,2.0,10.0,6.0,0.0556569504578635
97134.0,64.0,10.0,6.0,0.0241282443458581
97134.0,2048.0,10.0,6.0,0.0095561384514684
54509.0,2.0,10.0,6.0,0.3360755775547406
54509.0,64.0,10.0,6.0,0.2399061508945186
54509.0,2048.0,10.0,6.0,0.041687646157249
34753.0,2.0,10.0,8.0,0.7138397038316919
34753.0,64.0,10.0,8.0,0.1669084129924933
34753.0,2048.0,10.0,8.0,0.1364129204277784
932.0,2.0,10.0,8.0,1.2473472217836452
932.0,64.0,10.0,8.0,0.2305682424477657
932.0,2048.0,10.0,8.0,0.057481763575184
61325.0,2.0,10.0,8.0,0.5520402757247925
61325.0,64.0,10.0,8.0,0.4385232416333067
61325.0,2048.0,10.0,8.0,0.1441042455624597
85987.0,2.0,10.0,8.0,0.5852186371129797
85987.0,64.0,10.0,8.0,0.3647334982962453
85987.0,2048.0,10.0,8.0,0.1134791435715243
53492.0,2.0,10.0,8.0,0.2968324364786086
53492.0,64.0,10.0,8.0,0.2117758666066411
53492.0,2048.0,10.0,8.0,0.0090205692749856
50778.0,2.0,10.0,8.0,1.9948427330333671
50778.0,64.0,10.0,8.0,0.0667978787018483
50778.0,2048.0,10.0,8.0,0.0530068417875766
48598.0,2.0,10.0,8.0,0.0620541127027006
48598.0,64.0,10.0,8.0,0.0616310592570277
48598.0,2048.0,10.0,8.0,0.0098350774158482
61723.0,2.0,10.0,8.0,0.5048406830875316
61723.0,64.0,10.0,8.0,0.0969440330676167
61723.0,2048.0,10.0,8.0,0.0271421435027952
97134.0,2.0,10.0,8.0,0.5743379167804279
97134.0,64.0,10.0,8.0,0.2590440640907472
97134.0,2048.0,10.0,8.0,0.1407955136215273
54509.0,2.0,10.0,8.0,1.1853096419327422
54509.0,64.0,10.0,8.0,1.1851665375588585
54509.0,2048.0,10.0,8.0,0.1813794421302357
34753.0,2.0,10.0,10.0,1.260967583167132
34753.0,64.0,10.0,10.0,0.3101850089749058
34753.0,2048.0,10.0,10.0,0.1092013771609136
932.0,2.0,10.0,10.0,0.4960027458559204
932.0,64.0,10.0,10.0,0.2130110451464784
932.0,2048.0,10.0,10.0,0.0582751823405081
61325.0,2.0,10.0,10.0,1.0107175793286682
61325.0,64.0,10.0,10.0,0.6491283289200591
61325.0,2048.0,10.0,10.0,0.2055409920904469
85987.0,2.0,10.0,10.0,1.971863558955726
85987.0,64.0,10.0,10.0,0.5828373371286486
85987.0,2048.0,10.0,10.0,0.1422216785511518
53492.0,2.0,10.0,10.0,1.8126692973515424
53492.0,64.0,10.0,10.0,0.9071182461916304
53492.0,2048.0,10.0,10.0,0.1191249877388149
50778.0,2.0,10.0,10.0,1.408236997982194
50778.0,64.0,10.0,10.0,0.1531260368000369
