seed,R,C,M,epsilon,epsilon_euclid1,epsilon_euclid2
34753.0,10.0,10.0,2.0,0.2210138057530155,0.2210138057530146,0.156280360783803
34753.0,11.0,10.0,2.0,0.2210137163460448,0.2210137163460448,0.1562802975635284
34753.0,12.0,10.0,2.0,0.2210136269390927,0.2210136269390927,0.1562802343432663
34753.0,13.0,10.0,2.0,0.2210138057530155,0.2210138057530155,0.1562803607838037
34753.0,14.0,10.0,2.0,0.2210138057530155,0.2210138057530155,0.1562803607838037
34753.0,15.0,10.0,2.0,0.2210138057530164,0.2210138057530164,0.1562803607838043
34753.0,16.0,10.0,2.0,0.221013746148369,0.221013746148369,0.1562803186369539
34753.0,17.0,10.0,2.0,0.2210138057530173,0.2210138057530164,0.1562803607838043
34753.0,18.0,10.0,2.0,0.2210136269390927,0.2210136269390927,0.1562802343432663
34753.0,20.0,10.0,2.0,0.2210139050941144,0.2210139050941131,0.1562804310285674
34753.0,21.0,10.0,2.0,0.2210138057530155,0.2210138057530155,0.1562803607838037
34753.0,23.0,10.0,2.0,0.2210136418402495,0.2210136418402495,0.1562802448799753
34753.0,24.0,10.0,2.0,0.2210136269390927,0.2210136269390927,0.1562802343432663
34753.0,26.0,10.0,2.0,0.2210138057530155,0.2210138057530155,0.1562803607838037
34753.0,28.0,10.0,2.0,0.2210138057530155,0.2210138057530155,0.1562803607838037
34753.0,30.0,10.0,2.0,0.2210138057530164,0.2210138057530164,0.1562803607838043
34753.0,32.0,10.0,2.0,0.221013746148369,0.221013746148369,0.1562803186369539
34753.0,35.0,10.0,2.0,0.2210138057530182,0.2210138057530182,0.1562803607838055
34753.0,37.0,10.0,2.0,0.2210137908518525,0.2210137908518525,0.1562803502470903
34753.0,40.0,10.0,2.0,0.2210135077298467,0.2210135077298449,0.1562801500495988
34753.0,43.0,10.0,2.0,0.1512463042879019,0.1512463042879019,0.1069472873913794
34753.0,46.0,10.0,2.0,0.0905789635396718,0.0905789635396718,0.064048999351751
34753.0,49.0,10.0,2.0,0.0373402767606148,0.037340276760613,0.0264035629088119
34753.0,53.0,10.0,2.0,0.1644099725634618,0.1644099725634609,0.1162554064943174
34753.0,57.0,10.0,2.0,0.0982067286045076,0.0982067286045076,0.0694426437543942
34753.0,61.0,10.0,2.0,0.0406858772959068,0.0406858772959068,0.0287692597344595
34753.0,65.0,10.0,2.0,0.0097554846208645,0.0097554846208645,0.0068981693291743
34753.0,70.0,10.0,2.0,0.0647005395659228,0.064700539565921,0.0457501902734912
34753.0,75.0,10.0,2.0,0.1123195871849667,0.1123195871849667,0.0794219417585636
34753.0,81.0,10.0,2.0,0.038245513110894,0.038245513110894,0.0270436616706722
34753.0,86.0,10.0,2.0,0.0813118352469839,0.081311835246983,0.057496150093865
34753.0,93.0,10.0,2.0,0.0262980818086244,0.0262980818086226,0.0185955519790756
34753.0,100.0,10.0,2.0,0.0789862538516334,0.0789862538516317,0.0558517157190108
34753.0,107.0,10.0,2.0,0.1247806463749992,0.1247806463749974,0.0882332412126012
34753.0,114.0,10.0,2.0,0.0982067286045076,0.0982067286045076,0.0694426437543942
34753.0,123.0,10.0,2.0,0.1153226892378018,0.1153226892378,0.0815454555847173
34753.0,132.0,10.0,2.0,0.130104655239279,0.1301046552392781,0.0919978839836314
34753.0,141.0,10.0,2.0,0.0720775759355998,0.0720775759355998,0.0509665427155509
34753.0,151.0,10.0,2.0,0.0157157329033346,0.0157157329033346,0.0111127013072644
34753.0,162.0,10.0,2.0,0.038245513110894,0.038245513110894,0.0270436616706722
34753.0,174.0,10.0,2.0,0.0893310814378409,0.0893310814378409,0.063166613455425
34753.0,187.0,10.0,2.0,0.1372750239051097,0.1372750239051079,0.0970681002908472
34753.0,200.0,10.0,2.0,0.1289862538516359,0.1289862538516359,0.0912070547783412
34753.0,215.0,10.0,2.0,0.1278234631539572,0.1278234631539572,0.0903848375909119
34753.0,231.0,10.0,2.0,0.1729256477910272,0.1729256477910272,0.1222768981941118
34753.0,247.0,10.0,2.0,0.1716988044589218,0.1716988044589218,0.1214093889545266
34753.0,265.0,10.0,2.0,0.2129485180025767,0.2129485180025767,0.1505773411232476
34753.0,284.0,10.0,2.0,0.1803947045558569,0.180394704555856,0.1275583188815895
34753.0,305.0,10.0,2.0,0.156035434179504,0.1560354341795022,0.1103337136137132
34753.0,327.0,10.0,2.0,0.1367844189892491,0.1367844189892491,0.09672119022796
34753.0,351.0,10.0,2.0,0.0952255700909496,0.0952255700909496,0.0673346463536653
34753.0,376.0,10.0,2.0,0.0609011474686553,0.0609011474686553,0.0430636143571281
34753.0,403.0,10.0,2.0,0.0345693804025,0.0345693804025,0.0244442433040251
34753.0,432.0,10.0,2.0,0.0150973649627452,0.0150973649627452,0.0106754491432053
34753.0,464.0,10.0,2.0,0.0246759090240455,0.0246759090240455,0.0174485026028449
34753.0,497.0,10.0,2.0,0.0057219956453486,0.0057219956453486,0.0040460619227459
34753.0,533.0,10.0,2.0,0.0097554846208645,0.0097554846208645,0.0068981693291743
34753.0,572.0,10.0,2.0,0.0097554846208645,0.0097554846208645,0.0068981693291743
34753.0,613.0,10.0,2.0,0.0122652098059568,0.0122652098059568,0.0086728130264677
34753.0,657.0,10.0,2.0,0.0483926465456967,0.0483926465456967,0.0342187685320259
34753.0,705.0,10.0,2.0,0.0413976013693648,0.0413976013693648,0.0292725246531354
34753.0,756.0,10.0,2.0,0.0514730263384048,0.0514730263384048,0.0363969259720798
34753.0,811.0,10.0,2.0,0.0884807051463294,0.0884807051463294,0.062565306613137
34753.0,869.0,10.0,2.0,0.0770299822751088,0.0770299822751088,0.054468422821409
34753.0,932.0,10.0,2.0,0.0922909748816742,0.0922909748816742,0.0652595741811492
