Seed,Shots,Evaluations,CSteps,Epsilon
15795.0,2.0,3000.0,30.0,0.558440426808498
15795.0,8.0,3000.0,30.0,0.561086708567917
15795.0,32.0,3000.0,30.0,0.2503278445035053
15795.0,128.0,3000.0,30.0,0.1049839253031716
15795.0,512.0,3000.0,30.0,0.0581852849561311
15795.0,2048.0,3000.0,30.0,0.0339469038258129
15795.0,8192.0,3000.0,30.0,0.0137499434944251
860.0,2.0,3000.0,30.0,0.5836215933472547
860.0,8.0,3000.0,30.0,0.4288659516973139
860.0,32.0,3000.0,30.0,0.19444445852305325
860.0,128.0,3000.0,30.0,0.12587261889639123
860.0,512.0,3000.0,30.0,0.0468471336943409
860.0,2048.0,3000.0,30.0,0.026721912659791847
860.0,8192.0,3000.0,30.0,0.014626399149411495
76820.0,2.0,3000.0,30.0,0.5748796161446191
76820.0,8.0,3000.0,30.0,0.3705177510521069
76820.0,32.0,3000.0,30.0,0.2614263210031612
76820.0,128.0,3000.0,30.0,0.13429538355884263
76820.0,512.0,3000.0,30.0,0.05511740527776221
76820.0,2048.0,3000.0,30.0,0.033059552063536835
76820.0,8192.0,3000.0,30.0,0.013720395855416512
54886.0,2.0,3000.0,30.0,0.5879483524019326
54886.0,8.0,3000.0,30.0,0.3771451339260815
54886.0,32.0,3000.0,30.0,0.25073486074775675
54886.0,128.0,3000.0,30.0,0.11679719795700905
54886.0,512.0,3000.0,30.0,0.06661711955804261
54886.0,2048.0,3000.0,30.0,0.03595760495985195
54886.0,8192.0,3000.0,30.0,0.013864834012687455
6265.0,2.0,3000.0,30.0,0.5816835744446732
6265.0,8.0,3000.0,30.0,0.38835842403049725
6265.0,32.0,3000.0,30.0,0.2411642082923604
6265.0,128.0,3000.0,30.0,0.113103483235382
6265.0,512.0,3000.0,30.0,0.055164752824081176
6265.0,2048.0,3000.0,30.0,0.030990915498760097
6265.0,8192.0,3000.0,30.0,0.0202854573243072
82386.0,2.0,3000.0,30.0,0.5570258025854952
82386.0,8.0,3000.0,30.0,0.44842633736415016
82386.0,32.0,3000.0,30.0,0.23503966130706577
82386.0,128.0,3000.0,30.0,0.14137653667220107
82386.0,512.0,3000.0,30.0,0.05511263703033975
82386.0,2048.0,3000.0,30.0,0.02333325973476552
82386.0,8192.0,3000.0,30.0,0.01629710920801508
37194.0,2.0,3000.0,30.0,0.5704761102299232
37194.0,8.0,3000.0,30.0,0.47850187934046823
37194.0,32.0,3000.0,30.0,0.25372690706222584
37194.0,128.0,3000.0,30.0,0.1462782053103685
37194.0,512.0,3000.0,30.0,0.07400116770452825
37194.0,2048.0,3000.0,30.0,0.02872513969879298
37194.0,8192.0,3000.0,30.0,0.016266358169372497
87498.0,2.0,3000.0,30.0,0.5617103928530005
87498.0,8.0,3000.0,30.0,0.3935685070625261
87498.0,32.0,3000.0,30.0,0.22616654009840798
87498.0,128.0,3000.0,30.0,0.13000614042644887
