Seed,Shots,Evaluations,CSteps,Epsilon
15795.0,2.0,3000.0,30.0,0.5740300882941008
15795.0,8.0,3000.0,30.0,0.3964297463638002
15795.0,32.0,3000.0,30.0,0.2151696490415848
15795.0,128.0,3000.0,30.0,0.1186131882535364
15795.0,512.0,3000.0,30.0,0.0523471589669657
15795.0,2048.0,3000.0,30.0,0.0270414732671527
15795.0,8192.0,3000.0,30.0,0.0177965488460382
860.0,2.0,3000.0,30.0,0.5537248272961401
860.0,8.0,3000.0,30.0,0.3424683726943271
860.0,32.0,3000.0,30.0,0.1977252968588685
860.0,128.0,3000.0,30.0,0.1136151437197645
860.0,512.0,3000.0,30.0,0.0679373616894245
860.0,2048.0,3000.0,30.0,0.0266364975564147
860.0,8192.0,3000.0,30.0,0.0192144069911348
76820.0,2.0,3000.0,30.0,0.5586110506738142
76820.0,8.0,3000.0,30.0,0.4463086788738425
76820.0,32.0,3000.0,30.0,0.253667155917363
76820.0,128.0,3000.0,30.0,0.1199535095134644
76820.0,512.0,3000.0,30.0,0.0525563449030481
76820.0,2048.0,3000.0,30.0,0.0279464918452564
76820.0,8192.0,3000.0,30.0,0.0145454163000923
54886.0,2.0,3000.0,30.0,0.5647307528137834
54886.0,8.0,3000.0,30.0,0.513641500323755
54886.0,32.0,3000.0,30.0,0.1646448376489302
54886.0,128.0,3000.0,30.0,0.1029283687020469
54886.0,512.0,3000.0,30.0,0.0554228961659972
54886.0,2048.0,3000.0,30.0,0.0324523602432791
54886.0,8192.0,3000.0,30.0,0.0203967036138246
6265.0,2.0,3000.0,30.0,0.5551288005121466
6265.0,8.0,3000.0,30.0,0.4216540056098128
6265.0,32.0,3000.0,30.0,0.234290489869596
6265.0,128.0,3000.0,30.0,0.1021278994690357
6265.0,512.0,3000.0,30.0,0.0549264904295702
6265.0,2048.0,3000.0,30.0,0.0264557571990584
6265.0,8192.0,3000.0,30.0,0.0146106176053875
82386.0,2.0,3000.0,30.0,0.5728322750116768
82386.0,8.0,3000.0,30.0,0.4758331376477416
82386.0,32.0,3000.0,30.0,0.2384005271179806
82386.0,128.0,3000.0,30.0,0.1058472837159333
82386.0,512.0,3000.0,30.0,0.0707869143855729
82386.0,2048.0,3000.0,30.0,0.0313357968951375
82386.0,8192.0,3000.0,30.0,0.0148572792273735
37194.0,2.0,3000.0,30.0,0.580267135130514
37194.0,8.0,3000.0,30.0,0.3793789673609876
37194.0,32.0,3000.0,30.0,0.1957926636865464
37194.0,128.0,3000.0,30.0,0.1225950792804921
37194.0,512.0,3000.0,30.0,0.0590307622508582
37194.0,2048.0,3000.0,30.0,0.0305793242924936
37194.0,8192.0,3000.0,30.0,0.0152438075013423
87498.0,2.0,3000.0,30.0,0.5695681346813898
87498.0,8.0,3000.0,30.0,0.3934360314254044
87498.0,32.0,3000.0,30.0,0.2506699264694043
87498.0,128.0,3000.0,30.0,0.1155233956194167
87498.0,512.0,3000.0,30.0,0.0564389575879644
87498.0,2048.0,3000.0,30.0,0.0275455995177413
87498.0,8192.0,3000.0,30.0,0.013023869220267437
44131.0,2.0,3000.0,30.0,0.5507218807042762
44131.0,8.0,3000.0,30.0,0.3540197004490974
44131.0,32.0,3000.0,30.0,0.2925578634823832
44131.0,128.0,3000.0,30.0,0.1278288107263596
44131.0,512.0,3000.0,30.0,0.05458148179677624
44131.0,2048.0,3000.0,30.0,0.030573397196654417
44131.0,8192.0,3000.0,30.0,0.0176804500855251
60263.0,2.0,3000.0,30.0,0.5898345247319259
60263.0,8.0,3000.0,30.0,0.5150480752914011
60263.0,32.0,3000.0,30.0,0.22058293365387283
60263.0,128.0,3000.0,30.0,0.1211007461510516
60263.0,512.0,3000.0,30.0,0.059060953725553866
60263.0,2048.0,3000.0,30.0,0.027529517043196394
60263.0,8192.0,3000.0,30.0,0.013742260874606504
16023.0,2.0,3000.0,30.0,0.5688575604050519
16023.0,8.0,3000.0,30.0,0.4233962899257816
16023.0,32.0,3000.0,30.0,0.2429007733019688
16023.0,128.0,3000.0,30.0,0.19518445138713242
16023.0,512.0,3000.0,30.0,0.054501639279774916
16023.0,2048.0,3000.0,30.0,0.03791407023260018
16023.0,8192.0,3000.0,30.0,0.014000740435287928
41090.0,2.0,3000.0,30.0,0.5703403668954964
41090.0,8.0,3000.0,30.0,0.5201708034797214
41090.0,32.0,3000.0,30.0,0.3059420032518956
41090.0,128.0,3000.0,30.0,0.13119512022108315
41090.0,512.0,3000.0,30.0,0.06542223414929271
41090.0,2048.0,3000.0,30.0,0.025100796453401908
41090.0,8192.0,3000.0,30.0,0.01749741475629929
67221.0,2.0,3000.0,30.0,0.580906788830036
67221.0,8.0,3000.0,30.0,0.4698870236563338
67221.0,32.0,3000.0,30.0,0.23257169351088486
67221.0,128.0,3000.0,30.0,0.11509138264420082
67221.0,512.0,3000.0,30.0,0.06319169124848334
67221.0,2048.0,3000.0,30.0,0.02741736737047773
67221.0,8192.0,3000.0,30.0,0.019448091075756346
64820.0,2.0,3000.0,30.0,0.6104747808659304
64820.0,8.0,3000.0,30.0,0.4910572408815865
64820.0,32.0,3000.0,30.0,0.2162584319043957
64820.0,128.0,3000.0,30.0,0.13125132561305197
64820.0,512.0,3000.0,30.0,0.07800328302868148
