Seed,Shots,Evaluations,CSteps,Epsilon
15795.0,2.0,256.0,30.0,0.6611367829173747
15795.0,8.0,2000.0,30.0,0.494038914502652
15795.0,32.0,1508.0,30.0,0.18919268775586184
15795.0,128.0,1248.0,30.0,0.08290351967589005
15795.0,512.0,2000.0,30.0,0.047137363511944
15795.0,2048.0,640.0,30.0,0.03911408608670308
15795.0,8192.0,530.0,30.0,0.10336554783491447
860.0,2.0,172.0,30.0,0.758306969685284
860.0,8.0,2000.0,30.0,0.45612399627421
860.0,32.0,2000.0,30.0,0.20075847367413502
860.0,128.0,2000.0,30.0,0.1565348597549141
860.0,512.0,1322.0,30.0,0.09618443684815903
860.0,2048.0,284.0,30.0,0.054454318497564436
860.0,8192.0,942.0,30.0,0.1048970315153045
76820.0,2.0,6.0,30.0,0.8525276499368403
76820.0,8.0,2000.0,30.0,0.4086128620266536
76820.0,32.0,1768.0,30.0,0.24706438061561553
76820.0,128.0,2000.0,30.0,0.16989762341511105
76820.0,512.0,786.0,30.0,0.09897950733281397
76820.0,2048.0,2000.0,30.0,0.050019237501717995
76820.0,8192.0,22.0,30.0,0.12848010102963703
54886.0,2.0,68.0,30.0,0.861782601594146
54886.0,8.0,2000.0,30.0,0.48662856189709497
54886.0,32.0,88.0,30.0,0.469355795168106
54886.0,128.0,2000.0,30.0,0.12533223686457995
54886.0,512.0,116.0,30.0,0.05848825979736599
54886.0,2048.0,1712.0,30.0,0.05037703578692243
54886.0,8192.0,2000.0,30.0,0.03284261994796556
6265.0,2.0,602.0,30.0,0.7841857163747068
6265.0,8.0,2000.0,30.0,0.40155145813522486
6265.0,32.0,2000.0,30.0,0.30813292283595506
6265.0,128.0,1140.0,30.0,0.09048810033601207
6265.0,512.0,886.0,30.0,0.1096032705789931
6265.0,2048.0,562.0,30.0,0.05310328925646901
6265.0,8192.0,328.0,30.0,0.03382067667749955
82386.0,2.0,554.0,30.0,0.7701262587309843
82386.0,8.0,2000.0,30.0,0.349744803976444
82386.0,32.0,686.0,30.0,0.23843124347960498
82386.0,128.0,1980.0,30.0,0.10680053600997308
