Seed,Batch,Tol,Convergence,Loss,Accuracy
15795.0,1.0,,13.0,0.3640930002611853,0.95
15795.0,1.0,,20.0,0.3514192261491866,0.95
15795.0,1.0,,23.0,0.3485126813704403,0.95
15795.0,1.0,,341.0,0.4237427383530947,0.94
15795.0,1.0,,510.0,0.3605081841111667,0.96
15795.0,3.0,,15.0,1.3241118285313698,0.58
15795.0,3.0,,36.0,0.5160303449825239,0.91
15795.0,3.0,,84.0,0.4619176533078633,0.93
15795.0,3.0,,90.0,0.4354622036681698,0.93
15795.0,3.0,,276.0,0.3413103820538731,0.95
15795.0,5.0,,5.0,0.6414371679502926,0.84
15795.0,5.0,,22.0,0.4346738417041642,0.9
15795.0,5.0,,63.0,0.383136469884027,0.94
15795.0,5.0,,63.0,0.383136469884027,0.94
15795.0,5.0,,141.0,0.3475711952934115,0.96
15795.0,10.0,,7.0,0.5274103317080243,0.85
15795.0,10.0,,9.0,0.3964552548973958,0.95
15795.0,10.0,,18.0,0.3982701256857844,0.96
15795.0,10.0,,37.0,0.3753212717897922,0.95
15795.0,10.0,,37.0,0.3753212717897922,0.95
15795.0,20.0,,6.0,0.45481583922192,0.91
15795.0,20.0,,10.0,0.4335336615873735,0.94
15795.0,20.0,,11.0,0.4334520536095348,0.94
15795.0,20.0,,56.0,0.3535780152138923,0.95
15795.0,20.0,,123.0,0.3610744709106014,0.96
860.0,1.0,,23.0,0.6641352384052344,0.82
860.0,1.0,,29.0,0.5830330210738682,0.83
860.0,1.0,,75.0,0.4131526101080631,0.96
860.0,1.0,,116.0,0.4257161384999842,0.93
860.0,1.0,,234.0,0.4631447799347378,0.94
860.0,3.0,,7.0,0.458646625398125,0.89
860.0,3.0,,17.0,0.385086320935471,0.9
860.0,3.0,,26.0,0.4001585922710047,0.88
860.0,3.0,,62.0,0.3900201533108302,0.91
860.0,3.0,,328.0,0.3599096292045292,0.93
860.0,5.0,,8.0,0.6139302342658037,0.8
860.0,5.0,,12.0,0.5529166511564172,0.82
860.0,5.0,,26.0,0.3603446401487505,0.9
860.0,5.0,,26.0,0.3603446401487505,0.9
860.0,5.0,,26.0,0.3603446401487505,0.9
860.0,10.0,,4.0,1.6086768840047931,0.15
860.0,10.0,,16.0,1.3099930337341008,0.37
860.0,10.0,,36.0,0.7287216052935784,0.66
860.0,10.0,,74.0,0.3984275068807721,0.92
860.0,10.0,,276.0,0.3701936345496827,0.9
860.0,20.0,,5.0,0.3929580153393357,0.9
860.0,20.0,,11.0,0.3886390041801928,0.9
860.0,20.0,,15.0,0.3840469289461766,0.9
860.0,20.0,,38.0,0.3715574211362565,0.9
860.0,20.0,,201.0,0.3548183921512887,0.92
76820.0,1.0,,11.0,1.4803106437983606,0.49
76820.0,1.0,,16.0,0.6337252073583015,0.78
76820.0,1.0,,27.0,0.4443752332874829,0.88
76820.0,1.0,,101.0,0.5084044223272159,0.88
76820.0,1.0,,406.0,0.4401609082750189,0.85
76820.0,3.0,,2.0,0.7956201160587942,0.78
76820.0,3.0,,22.0,0.4416709478903581,0.87
76820.0,3.0,,29.0,0.4231838430051041,0.87
76820.0,3.0,,103.0,0.4172885662271707,0.86
76820.0,3.0,,661.0,0.403441857012009,0.94
76820.0,5.0,,3.0,0.415169712942999,0.95
76820.0,5.0,,4.0,0.416150500294928,0.95
76820.0,5.0,,14.0,0.4157249087734211,0.86
76820.0,5.0,,34.0,0.4154086681356858,0.94
76820.0,5.0,,176.0,0.3949355303453336,0.92
76820.0,10.0,,7.0,0.4278432566833189,0.87
76820.0,10.0,,9.0,0.4160683617976534,0.89
76820.0,10.0,,9.0,0.4160683617976534,0.89
76820.0,10.0,,28.0,0.3997792973299295,0.93
76820.0,10.0,,72.0,0.410192896909831,0.93
76820.0,20.0,,7.0,0.5249273830863581,0.93
76820.0,20.0,,20.0,0.4896389166277826,0.95
76820.0,20.0,,24.0,0.4659734109065381,0.94
76820.0,20.0,,31.0,0.4489819860224358,0.92
76820.0,20.0,,379.0,0.3972205935260869,0.9
54886.0,1.0,,2.0,0.7078267481721094,0.76
54886.0,1.0,,2.0,0.7078267481721094,0.76
54886.0,1.0,,67.0,0.8283558399218798,0.69
54886.0,1.0,,239.0,0.657994900725823,0.78
54886.0,1.0,,0.0,0.0,0.0
54886.0,3.0,,3.0,0.8037827726349576,0.67
54886.0,3.0,,3.0,0.8037827726349576,0.67
54886.0,3.0,,31.0,0.7664960814614916,0.69
54886.0,3.0,,31.0,0.7664960814614916,0.69
54886.0,3.0,,418.0,0.6330964105370761,0.79
54886.0,5.0,,3.0,0.7023475988552977,0.76
54886.0,5.0,,6.0,0.6130530622841921,0.9
54886.0,5.0,,7.0,0.6130466507862777,0.9
