Seed,R,Tol,Convergence,Loss,Accuracy
860.0,64.0,0.001,42.0,0.6023492295238075,0.8046875
860.0,64.0,0.0001,47.0,0.47166584267981304,0.8515625
860.0,128.0,0.01,4.0,0.5472111325448383,0.8515625
860.0,128.0,0.001,19.0,0.4518827055515766,0.88671875
860.0,128.0,0.0001,41.0,0.4192449843753176,0.88671875
860.0,256.0,0.01,19.0,0.4446983761517199,0.8671875
860.0,256.0,0.001,30.0,0.4176189785519553,0.91015625
860.0,256.0,0.0001,274.0,0.37213754123825665,0.92578125
860.0,512.0,0.01,4.0,1.1793957675738658,0.61328125
860.0,512.0,0.001,16.0,0.5660193767134094,0.83203125
860.0,512.0,0.0001,53.0,0.4702605404893875,0.953125
860.0,1024.0,0.01,13.0,0.45887221326487704,0.89453125
860.0,1024.0,0.001,25.0,0.46232370271739287,0.8984375
860.0,1024.0,0.0001,106.0,0.3665882684017794,0.91796875
860.0,2048.0,0.01,22.0,0.96345671565507,0.6640625
860.0,2048.0,0.001,22.0,0.9648562093111447,0.67578125
860.0,2048.0,0.0001,63.0,0.4317437352648765,0.91015625
860.0,4096.0,0.01,12.0,0.43936053987370316,0.88671875
860.0,4096.0,0.001,31.0,0.39307218649238784,0.9375
860.0,4096.0,0.0001,93.0,0.3652812061942729,0.9296875
76820.0,8.0,0.01,7.0,0.9906603978595303,0.73046875
76820.0,8.0,0.001,14.0,0.7921376389499704,0.73828125
76820.0,8.0,0.0001,164.0,1.355525971227472,0.70703125
76820.0,16.0,0.01,18.0,2.29302605435275,0.5546875
76820.0,16.0,0.001,42.0,0.9489461061590763,0.73828125
76820.0,16.0,0.0001,106.0,0.591913316689658,0.8203125
76820.0,32.0,0.01,12.0,0.5979613789243395,0.85546875
76820.0,32.0,0.001,33.0,0.5402331777422327,0.86328125
76820.0,32.0,0.0001,34.0,0.5000132840116998,0.91796875
76820.0,64.0,0.01,11.0,0.6046498142497232,0.83203125
76820.0,64.0,0.001,19.0,0.49790704020816023,0.87109375
76820.0,64.0,0.0001,25.0,0.48979153381328433,0.84765625
76820.0,128.0,0.01,23.0,0.5244860460679993,0.796875
76820.0,128.0,0.001,50.0,0.46511592350256065,0.8984375
76820.0,128.0,0.0001,173.0,0.4460215668732829,0.8828125
76820.0,256.0,0.01,21.0,0.6587173565845743,0.8671875
76820.0,256.0,0.001,84.0,0.4760703604472363,0.90625
76820.0,256.0,0.0001,103.0,0.5292469188011144,0.890625
76820.0,512.0,0.01,14.0,0.4880688627965979,0.875
76820.0,512.0,0.001,26.0,0.5431867183543604,0.80859375
76820.0,512.0,0.0001,100.0,0.45973701728215505,0.94921875
76820.0,1024.0,0.01,7.0,0.52468950101857,0.82421875
76820.0,1024.0,0.001,33.0,0.5290589781408681,0.85546875
76820.0,1024.0,0.0001,171.0,0.4442210534390708,0.83984375
76820.0,2048.0,0.01,6.0,0.6192573737356794,0.84375
76820.0,2048.0,0.001,22.0,0.4954350263714502,0.89453125
76820.0,2048.0,0.0001,81.0,0.47951415161822913,0.8671875
76820.0,4096.0,0.01,25.0,0.5190802194517892,0.80078125
76820.0,4096.0,0.001,37.0,0.7516995939501683,0.7421875
76820.0,4096.0,0.0001,194.0,0.5250232663017675,0.93359375
54886.0,8.0,0.01,5.0,2.4242800037345758,0.6796875
54886.0,8.0,0.001,14.0,3.4523712754024567,0.54296875
54886.0,8.0,0.0001,24.0,1.5289934331351345,0.6328125
54886.0,16.0,0.01,3.0,1.1626019727100996,0.64453125
54886.0,16.0,0.001,21.0,4.047596583498121,0.421875
54886.0,16.0,0.0001,46.0,4.49276322165897,0.38671875
54886.0,32.0,0.01,17.0,0.8295731945619162,0.6953125
54886.0,32.0,0.001,135.0,0.7858318401698907,0.6875
54886.0,32.0,0.0001,353.0,0.7272228043427331,0.73828125
54886.0,64.0,0.01,9.0,0.9570447489180351,0.6328125
54886.0,64.0,0.001,9.0,0.9580990127763245,0.640625
54886.0,64.0,0.0001,283.0,0.7707361264537704,0.69921875
54886.0,128.0,0.01,21.0,1.3696730959501093,0.35546875
54886.0,128.0,0.001,36.0,0.8628482771049201,0.68359375
54886.0,128.0,0.0001,147.0,0.6886467839354571,0.796875
54886.0,256.0,0.01,7.0,2.3278291868037964,0.35546875
54886.0,256.0,0.001,13.0,1.3135761283388403,0.55078125
54886.0,256.0,0.0001,162.0,0.6433497642643221,0.8046875
54886.0,512.0,0.01,24.0,1.1412806151648454,0.66796875
54886.0,512.0,0.001,51.0,0.89595756061462,0.69140625
54886.0,512.0,0.0001,154.0,0.7080568582160147,0.73828125
54886.0,1024.0,0.01,17.0,0.9493567180197003,0.62109375
54886.0,1024.0,0.001,30.0,0.7894093210021191,0.71484375
54886.0,1024.0,0.0001,30.0,0.7878851239564,0.7109375
54886.0,2048.0,0.01,3.0,1.249678036247714,0.61328125
54886.0,2048.0,0.001,29.0,0.7025172936062756,0.7578125
54886.0,2048.0,0.0001,29.0,0.7049472615344695,0.7578125
54886.0,4096.0,0.01,6.0,0.8293007216204138,0.734375
54886.0,4096.0,0.001,50.0,0.7015725043267027,0.8125
54886.0,4096.0,0.0001,117.0,0.7965845356797439,0.71484375
6265.0,8.0,0.01,5.0,2.8575311738681526,0.4453125
6265.0,8.0,0.001,5.0,2.9584467175624143,0.46875
6265.0,8.0,0.0001,192.0,0.8812460585566888,0.75
6265.0,16.0,0.01,4.0,1.690006841616725,0.37109375
6265.0,16.0,0.001,14.0,0.7649887179389083,0.8515625
6265.0,16.0,0.0001,27.0,1.9639755639133747,0.53125
6265.0,32.0,0.01,3.0,1.602990281762509,0.4140625
6265.0,32.0,0.001,34.0,0.7733070080851097,0.75390625
6265.0,32.0,0.0001,104.0,0.36962717941781054,0.93359375
