Seed,M,Tol,Convergence,Loss,Accuracy
15795.0,64.0,0.01,9.0,0.40651219215030815,0.90625
15795.0,64.0,0.001,38.0,0.36593527476253035,0.953125
15795.0,64.0,0.0001,118.0,0.35377374810271445,0.9375
15795.0,128.0,0.01,6.0,0.8723076105845707,0.7109375
15795.0,128.0,0.001,6.0,0.8723076105845707,0.7109375
15795.0,128.0,0.0001,256.0,0.3924273647702652,0.921875
15795.0,256.0,0.01,4.0,0.8746392857846006,0.69921875
15795.0,256.0,0.001,19.0,0.501269065831982,0.90625
15795.0,256.0,0.0001,130.0,0.43742313057370075,0.91015625
15795.0,512.0,0.01,14.0,0.4547108953775506,0.890625
15795.0,512.0,0.001,20.0,0.47105788900560075,0.873046875
15795.0,512.0,0.0001,88.0,0.47613480374480976,0.853515625
15795.0,1024.0,0.01,4.0,0.7285567406770177,0.736328125
15795.0,1024.0,0.001,35.0,0.5309236707201059,0.83984375
15795.0,1024.0,0.0001,149.0,0.46057663811763844,0.8984375
15795.0,2048.0,0.01,5.0,0.512812849455726,0.861328125
15795.0,2048.0,0.001,47.0,0.5758467896548962,0.87744140625
15795.0,2048.0,0.0001,72.0,0.5307284821008389,0.87939453125
860.0,64.0,0.01,15.0,0.6388711412768877,0.828125
860.0,64.0,0.001,19.0,0.5759197030952504,0.84375
860.0,64.0,0.0001,19.0,0.5759197030952504,0.84375
860.0,128.0,0.01,5.0,1.282362077090505,0.328125
860.0,128.0,0.001,25.0,0.5720066496587968,0.84375
860.0,128.0,0.0001,74.0,0.5456931494659064,0.828125
860.0,256.0,0.01,10.0,0.4579991261090176,0.8671875
860.0,256.0,0.001,16.0,0.4765695364470676,0.88671875
860.0,256.0,0.0001,22.0,0.45164196697148273,0.90234375
860.0,512.0,0.01,6.0,0.7347153756289777,0.740234375
860.0,512.0,0.001,17.0,0.4264660348627394,0.884765625
860.0,512.0,0.0001,17.0,0.4264660348627394,0.884765625
860.0,1024.0,0.01,10.0,1.3440451316240356,0.3427734375
860.0,1024.0,0.001,10.0,1.3440451316240356,0.3427734375
860.0,1024.0,0.0001,52.0,0.4910055500454287,0.833984375
860.0,2048.0,0.01,13.0,0.476820508202764,0.8583984375
860.0,2048.0,0.001,18.0,0.4279778681516738,0.8876953125
860.0,2048.0,0.0001,88.0,0.39331453346666523,0.90185546875
76820.0,64.0,0.01,2.0,0.6535840630814039,0.921875
76820.0,64.0,0.001,28.0,0.48523289536693404,0.875
76820.0,64.0,0.0001,52.0,0.5195385929148745,0.828125
76820.0,128.0,0.01,12.0,0.6066116723390604,0.8984375
76820.0,128.0,0.001,46.0,0.42254623937710795,0.859375
76820.0,128.0,0.0001,260.0,0.4202298107298005,0.8984375
76820.0,256.0,0.01,11.0,0.5157717928840333,0.95703125
76820.0,256.0,0.001,11.0,0.5157717928840333,0.95703125
76820.0,256.0,0.0001,155.0,0.5268685127425322,0.8984375
76820.0,512.0,0.01,20.0,0.472256001716318,0.927734375
76820.0,512.0,0.001,79.0,0.4309124937608166,0.869140625
76820.0,512.0,0.0001,401.0,0.4174078569837818,0.9296875
76820.0,1024.0,0.01,18.0,0.911016185730199,0.751953125
76820.0,1024.0,0.001,53.0,0.456820448798937,0.853515625
76820.0,1024.0,0.0001,88.0,0.426640569773444,0.8623046875
76820.0,2048.0,0.01,8.0,0.6809178057846265,0.8203125
76820.0,2048.0,0.001,21.0,0.6443145139702225,0.76416015625
76820.0,2048.0,0.0001,30.0,0.45153884018504087,0.880859375
54886.0,64.0,0.01,33.0,1.2923812273840944,0.40625
54886.0,64.0,0.001,79.0,0.7525033413990807,0.6875
54886.0,64.0,0.0001,598.0,0.7476901024012488,0.703125
54886.0,128.0,0.01,6.0,0.916694011939162,0.640625
