Seed,M,Tol,Convergence,Loss,Accuracy
76820.0,1024.0,0.001,12.0,0.5799717630612622,0.8671875
76820.0,1024.0,0.0001,193.0,0.3951726012885699,0.8759765625
76820.0,2048.0,0.01,13.0,0.4879842692358656,0.888671875
76820.0,2048.0,0.001,27.0,0.4745353575771544,0.892578125
76820.0,2048.0,0.0001,215.0,0.3894809974844701,0.8984375
54886.0,64.0,0.01,28.0,1.057874479287681,0.515625
54886.0,64.0,0.001,29.0,1.057767173500391,0.515625
54886.0,64.0,0.0001,29.0,1.057767173500391,0.515625
54886.0,128.0,0.01,14.0,0.6760833470574075,0.828125
54886.0,128.0,0.001,121.0,0.6351574353164249,0.859375
54886.0,128.0,0.0001,179.0,0.5590761878325214,0.859375
54886.0,256.0,0.01,21.0,0.6383433605902953,0.85546875
54886.0,256.0,0.001,55.0,0.6234365813454484,0.8828125
54886.0,256.0,0.0001,188.0,0.5726364517190341,0.83984375
54886.0,512.0,0.01,35.0,0.6070573124885581,0.830078125
54886.0,512.0,0.001,44.0,0.7046316350364862,0.822265625
54886.0,512.0,0.0001,99.0,0.701277349385599,0.83984375
54886.0,1024.0,0.01,10.0,1.3865537177030043,0.6083984375
54886.0,1024.0,0.001,10.0,1.3865537177030043,0.6083984375
54886.0,1024.0,0.0001,10.0,1.3865537177030043,0.6083984375
54886.0,2048.0,0.01,13.0,0.9101032276476679,0.64208984375
54886.0,2048.0,0.001,38.0,0.6484181539233315,0.81396484375
54886.0,2048.0,0.0001,310.0,0.6314288715664377,0.79638671875
6265.0,64.0,0.01,4.0,0.6667896623253866,0.8125
6265.0,64.0,0.001,31.0,0.3082708929676849,1.0
6265.0,64.0,0.0001,100.0,0.24730849918361192,0.96875
6265.0,128.0,0.01,7.0,0.7919015236906122,0.6875
6265.0,128.0,0.001,27.0,0.43706539297687785,0.921875
6265.0,128.0,0.0001,27.0,0.43706539297687785,0.921875
6265.0,256.0,0.01,7.0,0.9796325109948776,0.5
6265.0,256.0,0.001,37.0,0.29615568280449855,0.97265625
6265.0,256.0,0.0001,171.0,0.255546340720048,0.9609375
6265.0,512.0,0.01,5.0,0.6619006542597405,0.7421875
6265.0,512.0,0.001,23.0,0.3573059325340677,0.951171875
6265.0,512.0,0.0001,72.0,0.2653747189316009,0.94921875
6265.0,1024.0,0.01,15.0,0.3028782955075551,0.9287109375
6265.0,1024.0,0.001,23.0,0.2642820833154882,0.9775390625
6265.0,1024.0,0.0001,33.0,0.26674986417842994,0.9716796875
6265.0,2048.0,0.01,17.0,0.5433905644778543,0.8720703125
6265.0,2048.0,0.001,17.0,0.5433905644778543,0.8720703125
6265.0,2048.0,0.0001,66.0,0.2650719071518983,0.95849609375
82386.0,64.0,0.01,5.0,0.7471824738769428,0.703125
82386.0,64.0,0.001,35.0,0.5575259323032622,0.859375
82386.0,64.0,0.0001,175.0,0.5087846502181805,1.0
82386.0,128.0,0.01,7.0,1.890180142097083,0.3828125
82386.0,128.0,0.001,58.0,0.5561458362488318,0.8359375
82386.0,128.0,0.0001,97.0,0.5311493740200643,0.9375
82386.0,256.0,0.01,2.0,0.9506302236207855,0.55859375
82386.0,256.0,0.001,75.0,0.6315202365904062,0.90234375
82386.0,256.0,0.0001,210.0,0.520921813608969,0.93359375
82386.0,512.0,0.01,3.0,1.0344758945211359,0.5859375
82386.0,512.0,0.001,35.0,0.5221703944720955,0.970703125
82386.0,512.0,0.0001,223.0,0.5085164034784299,0.966796875
82386.0,1024.0,0.01,4.0,0.5417646504189327,0.9140625
82386.0,1024.0,0.001,5.0,0.5414848936648835,0.9150390625
82386.0,1024.0,0.0001,57.0,0.5144663924057284,0.966796875
82386.0,2048.0,0.01,14.0,0.6261529308970823,0.88623046875
82386.0,2048.0,0.001,29.0,0.5994214803015578,0.87890625
82386.0,2048.0,0.0001,182.0,0.506067251604819,0.97900390625
37194.0,64.0,0.01,12.0,0.5731995775345076,0.796875
37194.0,64.0,0.001,22.0,0.4669437382678899,0.84375
37194.0,64.0,0.0001,213.0,0.4006296442140771,0.9375
37194.0,128.0,0.01,14.0,0.5181069153120672,0.8515625
37194.0,128.0,0.001,88.0,0.4394415012587521,0.9375
37194.0,128.0,0.0001,119.0,0.4411199917001348,0.90625
37194.0,256.0,0.01,10.0,0.49967811204204987,0.83984375
37194.0,256.0,0.001,80.0,0.6886994617484774,0.79296875
37194.0,256.0,0.0001,186.0,0.5529982854021498,0.80859375
37194.0,512.0,0.01,7.0,0.5986778001053452,0.810546875
37194.0,512.0,0.001,19.0,0.5353510194644844,0.8828125
37194.0,512.0,0.0001,83.0,0.4846655848947148,0.814453125
37194.0,1024.0,0.01,5.0,1.1673058133347833,0.7099609375
37194.0,1024.0,0.001,14.0,0.8504993575615616,0.716796875
37194.0,1024.0,0.0001,80.0,0.5261042450052652,0.80078125
37194.0,2048.0,0.01,18.0,0.5684705890068147,0.78369140625
37194.0,2048.0,0.001,45.0,0.4984316209590899,0.7900390625
37194.0,2048.0,0.0001,45.0,0.4984316209590899,0.7900390625
87498.0,64.0,0.01,8.0,0.580362469807439,0.75
87498.0,64.0,0.001,37.0,0.5476921186989406,0.84375
87498.0,64.0,0.0001,132.0,0.5069766415876479,0.984375
87498.0,128.0,0.01,10.0,0.6941545318930797,0.7109375
87498.0,128.0,0.001,18.0,0.5892577278717879,0.7578125
87498.0,128.0,0.0001,60.0,0.5017447252888871,0.9609375
87498.0,256.0,0.01,3.0,1.1974345549636203,0.48046875
87498.0,256.0,0.001,7.0,1.182284053960592,0.6015625
87498.0,256.0,0.0001,64.0,0.7384552094559071,0.76171875
87498.0,512.0,0.01,19.0,1.0236564652296511,0.484375
87498.0,512.0,0.001,64.0,0.6270054235612137,0.744140625
87498.0,512.0,0.0001,152.0,0.4746023507243256,0.9609375
87498.0,1024.0,0.01,12.0,0.5181531583674932,0.9033203125
87498.0,1024.0,0.001,50.0,0.5765207132834351,0.849609375
87498.0,1024.0,0.0001,206.0,0.4941267473558898,0.974609375
87498.0,2048.0,0.01,24.0,0.5513013639609556,0.9375
87498.0,2048.0,0.001,34.0,0.5035444067481367,0.9755859375
87498.0,2048.0,0.0001,121.0,0.47391611077133505,0.97314453125
44131.0,64.0,0.01,5.0,0.5517335474850579,0.8125
