seed,R,C,M,train acc,test acc,epsilon,evaluations
62549.0,1024.0,10.0,100.0,0.992,,0.0114709912875445,73159.0
62549.0,2048.0,10.0,100.0,0.992,,0.0167150164771688,71486.0
62549.0,4096.0,10.0,100.0,0.992,,0.0030283628246942,71510.0
24583.0,1.0,10.0,100.0,0.983,,1.0823922689361654,86851.0
24583.0,4.0,10.0,100.0,0.992,,0.3459791171085061,80881.0
24583.0,8.0,10.0,100.0,0.993,,0.1450647103730361,75588.0
24583.0,64.0,10.0,100.0,0.993,,0.1121757446335853,69431.0
24583.0,256.0,10.0,100.0,0.993,,0.0362577154204785,72302.0
24583.0,512.0,10.0,100.0,0.993,,0.0206541633839953,72843.0
24583.0,1024.0,10.0,100.0,0.993,,0.0148690322659424,72847.0
24583.0,2048.0,10.0,100.0,0.994,,0.0144693142199241,73758.0
24583.0,4096.0,10.0,100.0,0.994,,0.012988493224274,72847.0
41004.0,1.0,10.0,100.0,0.981,,1.026098387577572,85241.0
41004.0,4.0,10.0,100.0,0.992,,0.3199499791690081,78805.0
41004.0,8.0,10.0,100.0,0.992,,0.1367303521035241,76377.0
41004.0,64.0,10.0,100.0,0.992,,0.104359370375348,68724.0
41004.0,256.0,10.0,100.0,0.992,,0.026799017515179,72030.0
41004.0,512.0,10.0,100.0,0.993,,0.0093538163623714,72256.0
41004.0,1024.0,10.0,100.0,0.993,,0.0104096009806983,74707.0
41004.0,2048.0,10.0,100.0,0.993,,0.0178545263913027,74382.0
41004.0,4096.0,10.0,100.0,0.992,,0.0098920866104853,71489.0
63952.0,1.0,10.0,100.0,0.979,,1.0666163229391792,85203.0
63952.0,4.0,10.0,100.0,0.992,,0.332119592495935,79936.0
63952.0,8.0,10.0,100.0,0.992,,0.1545578985122332,75455.0
63952.0,64.0,10.0,100.0,0.992,,0.0887062984124323,70203.0
63952.0,256.0,10.0,100.0,0.992,,0.0160242882758797,71326.0
63952.0,512.0,10.0,100.0,0.993,,0.02067175849518,72336.0
63952.0,1024.0,10.0,100.0,0.993,,0.0127189130307229,72358.0
